ke	k @
pais	p e s
pajak	p a dZ a KK
pak	p a KK
pakistan	p a k i s t a n
pal	p a l
palace	p a l a s
palau	p a l aw
palestine	p e l @ s t i n
palin	p e l i n
pall	p a l
palm	p a l m
palma	p a l m a
palms	p a l m s
palsy	p a l s i
pam	p a m
pamela	p a m e l a
pan	p a n
panama	p a n a m a
panas	p a n a s
panda	p a n d a
panel	p a n @ l
pang	p a NG
panik	p a n i KK
panorama	p a n o r a m a
pap	p a p
papa	p a p a
paper	p e p @
papua	p a p w a
par	p a r
para	p a r a
parade	p @ r e d
paradise	p a r a d i s
parameter	p a r a m i t @
paramount	p a r a m aw n t
parent	p e r @ n t
paris	p e r i s
park	p a r k
parking	p a r k i NG
parkinson	p a r k i n s @ n
parks	p a r KK s
parkway	p a r k w e
parliament	p a r l i m @ n t
parliamentary	p a r l i m @ n t @ r i
part	p a r t
parte	p a r t
parti	p a r t i
participation	p a r t i s i p e SS @ n
partner	p a r t n @
partnership	p a r t n @ SS i p
party	p a r t i
pas	p a s
pasok	p a s o KK
pass	p a s
passport	p a s p o r t
pat	p a t
patel	p @ t e l
patience	p e SS @ n s
patients	p e SS @ n t s
patin	p a t i n
patricia	p @ t r i SS @
patrick	p a t r i k
patriot	p a t r i o t
patriotism	p a t r i o t i s m
patrol	p e t r o l
patron	p a t r o n
pattern	p e t @ n
paul	p aw l
paula	p aw l a
pauline	p aw l i n
paulus	p o l @ s
pavilion	p e v i l j @ n
pay	p e
paying	p e j i NG
payment	p e j m @ n t
pc	p i s i
peace	p i s
pearl	p @ l
peck	p e k
peggy	p e g i
pei	p e j
peking	p @ k i NG
pembina	p @ m b i n a
pen	p @ n
penal	p @ n a l
penang	p @ n a NG
pending	p e n d i NG
peng	p @ NG
penguin	p @ NG u i n
pennsylvania	p e n s @ l v e n j @
people	p i p @ l
peoples	p i p @ l s
pepper	p e p @
per	p @ r
pera	p @ r a
percussion	p @ k @ SS @ n
pereira	p @ r @ j r a
perera	p @ r e r a
perfect	p @ f e k t
performance	p @ f o r m @ n s
performing	p @ f o r m i NG
perimeter	p @ r i m i t @
period	p @ r i o d
perlis	p @ r l i s
permanent	p @ m @ n @ n t
permit	p @ r m i t
peron	p @ r o n
perry	p e r i
person	p @ s @ n
persona	p @ r s o n a
personality	p @ r s o n a l i t i
personnel	p @ s @ n e l
perth	p @ r t
peru	p @ r u
pesta	p e s t a
pet	p @ t
peta	p @ t a
peter	p i t @
petra	p @ t r a
petrochemical	p e t r o k e m i k @ l
petrol	p e t r o l
petroleum	p e t r o l j @ m
petronas	p @ t r o n a s
petrus	p @ t r u s
pewter	p j u t @
pfizer	f aj z @
pgm	p i dZ i e m
ph	p i e tS
phan	p a n
pharma	f a r m a
pharmaceutical	f a r m @ s u t i k @ l
pharmaceuticals	f a r m @ s u t i k @ l s
pharmacy	f a r m @ s i
phase	f e z
philip	f i l i p
philipp	f i l i p
philippe	f i l i p
philippine	f i l i p i n
philippines	f i l i p i n s
phillip	f i l i p
philosophy	f i l o s o f i
phoebe	f i b i
phoenix	f i n i KK s
phone	f o n
photo	f o t o
phu	p u
pi	p i
pia	p j a
piano	p j a n o
pic	p i k
pictures	p i KK tS @ s
pierce	p j @ s
pik	p i KK
pikul	p i k u l
pil	p i l
pilley	p i l e
pilot	p aj l @ t
pin	p i n
pine	p aj n
ping	p i NG
pink	p i NG k
pinta	p i n t a
pintar	p i n t a
pipp	p i aj p i p i
pisa	p i s a
pistol	p i s t o l
pit	p i t
pita	p i t @
pius	p aj @ s
place	p l e s
places	p l e s @ s
plan	p l a n
plane	p l e n
planet	p l e n @ t
planetarium	p l e n @ t e r j @ m
planning	p l e n i NG
plant	p l a n t
plantation	p l e n t e SS @ n
plantations	p l e n t e SS @ n s
planting	p l a n t i NG
plasma	p l a s m a
plaster	p l a s t @
platform	p l e t f o m
platinum	p l e t i n @ m
platoon	p l a t u n
play	p l e
plaza	p l a z a
plot	p l o t
plus	p l a s
pm	p i e m
pneumonia	n j u m o n j a
po	p o
poco	p o tS o
podium	p o d j @ m
poetry	p o @ t r i
poh	p o h
point	p oj n t
points	p oj n t s
pol	p o l
poland	p o l @ n d
polar	p o l a
poli	p o l i
police	p o l i s
policy	p o l i s i
polis	p o l i s
political	p o l i t i k @ l
politics	p o l i t i tS s
poly	p o l i
pom	p o m
pon	p o n
pong	p o NG
pool	p u l
poon	p u n
pop	p o p
popular	p o p u l a
popularity	p o p u l a r i t i
population	p o p j u l e SS @ n
por	p i o a r
port	p o r t
portal	p o r t @ l
portfolio	p o r t f o l j o
portland	p o r t l @ n d
porto	p o r t o
portugal	p o r t u g a l
pos	p o s
position	p @ z i SS @ n
post	p o s t
poster	p o s t @
potential	p @ t e n tS @ l
poul	p o l
pound	p aw n d
pow	p aw
powell	p aw @ l
power	p aw @
powerhouse	p aw @ h aw s
powers	p aw @ s
ppm	p i p i e m
practical	p r e KK t i k @ l
practice	p r e KK t i s
practices	p r e KK t i s @ s
prado	p r a d o
praise	p r e s
prakash	p r a k a SS
prayer	p r e j @
pre	p r i
precinct	p r i s i NG k
precision	p r i s i SS @ n
premier	p r i m j @
premiere	p r i m j @
premium	p r i m j @ m
present	p r i z e n t
presentation	p r i z e n t e SS @ n
president	p r e s i d @ n t
presidential	p r i s i d e n SS @ l
presidents	p r e s i d @ n t s
presley	p r e s l i
press	p r e s
pressure	p r e SS @
prestige	p r e s t i z
prevention	p r i v e n SS @ n
price	p r aj s
pride	p r aj d
priest	p r i s t
prima	p r i m a
primary	p r aj m e r i
prime	p r aj m
prince	p r i n s
princess	p r i n s e s
principle	p r i n s i p @ l
principles	p r i n s i p @ l s
print	p r i n t
prior	p r i o
priscilla	p r i s i l a
prison	p r i z @ n
private	p r aj v @ t
privatisation	p r aj v @ t aj s e SS @ n
privilege	p r i v i l e dZ
prix	p r i
prize	p r aj z
pro	p r o
procedure	p r @ s i dZ @
process	p r @ s e s
procurement	p r o k j u @ m @ n t
producer	p r o d j u s @
product	p r o d a KK t
production	p r o d a KK SS @ n
productions	p r o d a KK SS @ n s
productive	p r o d a k t i v
productivity	p r o d a KK t i v i t i
products	p r o d a KK s
profession	p r o f e SS @ n
professional	p r o f e SS @ n @ l
professionals	p r o f e SS @ n @ l s
professor	p r o f e s @
profit	p r o f i t
program	p r o g r e m
programme	p r o g r e m
programming	p r o g r e m i NG
progress	p r o g r e s
progressive	p r o g r e s i v
project	p r o dZ e KK
promenade	p r o m @ n e d
promoter	p r o m o t @
promotion	p r o m o SS @ n
propaganda	p r o p a g a n d @
properties	p r o p @ t i s
property	p r o p @ t i
protected	p r o t e KK t @ d
protecting	p r o t e KK t i NG
protection	p r o t e KK SS @ n
protein	p r o t i n
protest	p r o t e s t
protocol	p r o t @ k o l
proton	p r o t @ n
province	p r o v i n s
pru	p r u
psychology	s aj k o l @ dZ i
ptolemy	p i t i o l e m i
pub	p a b
public	p a b l i k
publication	p a b l i k e SS @ n
publications	p a b l i k e SS @ n s
publicity	p a b l i s i t i
publishing	p a b l i SS i NG
pulp	p a l p
pump	p a m p
pun	p u n
punk	p u n k
pura	p u r a
purchase	p @ tS e s
puri	p u r i
purpose	p @ p @ s
push	p u SS
put	p u t
puzzle	p a z @ l 
q	k j u
qatar	k a t a
qi	k i
qin	k i n
qualification	k w a l i f i k e SS @ n
quality	k w a l i t i
quan	k w a n
quang	k w a NG
quantum	k w a n @ m
quarter	k w o r t @
quarters	k w o r t @ s
queen	k w i n
queens	k w i n z
quest	k w e s t
quick	k w i k
quit	k w i t
quo	k w o
quoted	k w o t @ d
r	a r
rabun	r a b u n
race	r e s
rachael	r e tS @ l
rachel	r e tS @ l
racing	r e s i NG
raden	r e d @ n
radiator	r e d i e t @
radin	r a d i n
radio	r a d j o
radius	r e d j @ s
rahim	r a h i m
rahman	r a h m a n
rai	r aj
rain	r e n
rainbow	r e n b o
rainforest	r e n f o r @ s t
rais	r e
raise	r e s
raising	r e z i NG
raj	r a dZ
rajaratnam	r a dZ a r a t n a m
raju	r a dZ u
rak	r a KK
ram	r a m
rama	r a m a
ramadan	r a m a d a n
rambo	r a m b o
rami	r a m i
ramon	r a m o n
ramona	r a m o n a
ramping	r e m p i NG
ramsay	r e m s e
ramsey	r e m s i
ramu	r a m u
ramzi	r a m z i
ran	r a n
randa	r a n d a
randy	r e n d i
rang	r e NG
range	r e n dZ
ranger	r e n dZ @
rangers	r e n dZ @ s
rani	r a n i
rania	r e n j @
ranking	r e n k i NG
ranting	r a n t i NG
ranum	r e n @ m
rao	r aw
raphael	r a f a e l
rapid	r e p i d
rare	r e r
ras	r a s
rashid	r a SS i d
rat	r a t
rata	r a t @
rate	r e t
rating	r e t i NG
ratio	r e SS i o
ratu	r a t u
rau	r aw
raub	r a u b
raut	r a u t
ravindran	r a v i n d r a n
ray	r e
raya	r a j @
raymond	r e m @ n d
rayon	r e j @ n
re	r @
reach	r i tS
read	r i d
reader	r i d @
readers	r i d @ s
ready	r e d i
real	r j @ l
reality	r j @ l i t i
rebecca	r @ b e k a
rebut	r @ b u t
recall	r i k o l
recipe	r e s @ p i
record	r i k o r d
recording	r i k o r d i NG
records	r i k o r d s
recovery	r i k a v @ r i
recycle	r i s aj k @ l
recycling	r i s aj k @ l i NG
red	r @ d
reduce	r i d j u s
reduction	r i d a KK SS @ n
ree	r i
reference	r e f @ r @ n s
reflection	r i f l e KK SS @ n
reflections	r i f l e KK SS @ n s
reform	r i f o m
reforms	r i f o m s
regan	r i g a n
regatta	r @ g a t a
regency	r i dZ @ n s i
regent	r i dZ @ n t
reggae	r e g a e
regimen	r e dZ i m @ n
regiment	r e dZ i m @ n t
regina	r @ g i n a
region	r i dZ @ n
regional	r i dZ @ n @ l
register	r e dZ i s t @
registration	r e dZ i s t r e SS @ n
regulation	r e g j u l e SS @ n
regulations	r e g j u l e SS @ n s
rehabilitation	r @ h a b i l i t e SS @ n
reis	r @ i s
relax	r @ l a KK s
relay	r i l e
relief	r i l i f
religion	r i l i dZ @ n
remington	r e m i NG t @ n
remote	r i m o t
renee	r @ n e
renewable	r i n j u @ b @ l
renewal	r i n j u @ l
repair	r i p e r
report	r i p o r t
reporting	r i p o r t i NG
representatives	r e p r i z e n t @ t i v s
republic	r i p a b l i k
republican	r i p a b l i k @ n
res	r e s
rescue	r e s k j u
research	r i s @ tS
researchers	r i s @ tS @ s
reserve	r i z @ v
reservoir	r i z @ v w a r
residence	r e s i d @ n s
resort	r i z o r t
resorts	r i z o r t s
resource	r i s o r s
resources	r i s o r s @ s
respiratory	r e s p i r @ t @ r i
response	r e s p o n s
responsibility	r e s p o n s i b i l @ t i
rest	r e s t
restaurant	r e s t o r @ n t
result	r i z a l t
resume	r e s j u m
retail	r i t e l
retain	r i t e n
reti	r @ t i
retired	r i t aj r d
retirement	r i t aj @ m @ n t
retro	r e t r o
return	r i t @ n
returning	r i t @ n i NG
reuben	r i u b @ n
reunion	r i j u n j @ n
reuters	r oj t @ s
reverend	r e v @ r @ n d
review	r i v j u
revival	r i v aj v @ l
revolution	r e v @ l u SS @ n
revolver	r i v o l v @
reynolds	r e n o l d s
rhythm	r i d @ m
ria	r j a
riba	r i b @
rica	r i k a
rice	r aj s
richard	r i tS @ d
richie	r i tS i
richmond	r i tS m @ n d
richter	r i KK t @
rick	r i k
ricky	r i k i
rico	r i k o
ride	r aj d
rider	r aj d @
right	r aj t
rights	r aj t s
rim	r i m
rima	r i m a
rina	r i n a
ring	r i NG
ringgit	r i NG g i t
rini	r i n i
rio	r i o
riot	r j @ t
rising	r aj z i NG
risk	r i s k
risks	r i s k s
rita	r i t @
ritchie	r i t tS i
ritual	r i tS @ l
river	r i v @ r
rivers	r i v @ s
riverside	r i v @ s aj d
riyadh	r i j a h
ro	r o
road	r o d
roadshow	r o d SS o
robbie	r o b i
robert	r o b @ r t
robertson	r o b @ r t s @ n
robin	r o b i n
robina	r o b i n a
robot	r o b o t
robots	r o b o t s
roche	r o tS
rock	r o k
roda	r o d a
rodriguez	r o d r i KK e z
rody	r o d i
roger	r o dZ e
rohana	r o h a n a
roland	r o l @ n d
role	r o l
roles	r o l s
roll	r o l
roller	r o l @
rolling	r o l i NG
rom	r o m
roman	r o m a n
romania	r o m e n j @
romeo	r o m j o
ron	r o n
ronald	r o n @ l
rong	r o NG
ronnie	r o n i
ronny	r o n i
room	r u m
rooney	r o a n i
roots	r u t s
ros	r o s
rosa	r o s a
rosalind	r o s a l i n
rose	r o s
roses	r o z @ s
rosey	r o s i
rosita	r o s i t @
rosman	r o s m a n
rotary	r o t @ r i
rothmans	r o t m @ n s
roti	r o t i
route	r u t
rover	r o v @
roy	r oj
royal	r o j @ l
roza	r o z a
ru	r u
rua	r w a
rubber	r a b @
rudi	r u d i
rudin	r u d i n
rudy	r u d i
rugby	r a g b i
rule	r u l
rules	r u l s
run	r u n
rung	r a NG
running	r a n i NG
rural	r u r @ l
rush	r a SS
ruslan	r u s l a n
russel	r a s @ l
russia	r a SS @
russian	r a SS @ n
ryan	r j a n
s	e s
sa	s a
saad	s a d
saba	s a b a
sabah	s a b a h
saban	s a b a n
sabrina	s a b r i n a
sabry	s a b r i
sac	s e s i
sacred	s e k r @ d
sada	s a d a
safari	s a f a r i
safe	s e f
safety	s e f t i
saga	s a g a
sagan	s a g a n
sago	s a g o
saha	s a h a
sai	s aj
said	s aj d
saif	s a i f
saigon	s aj g o n
sail	s e i l
sain	s aj n
saint	s e n t
saints	s aj n t s
saiz	s aj z
sajak	s a dZ a KK
sakai	s a k a i
sal	s a l
salad	s a l a d
salah	s a l a h
salak	s a l a KK
salam	s a l a m
salamon	s a l a m @ n
sale	s e l
saleem	s a l i m
saleh	s a l e h
salem	s a l e m
sales	s e l s
salim	s a l i m
salin	s a l i n
salina	s a l i n a
salleh	s a l e h
salman	s a l m a n
salo	s a l o
saloma	s a l o m @
salon	s a l o n
saloon	s @ l u n
salt	s a l t
salvation	s e l v e SS @ n
sam	s a m
sama	s a m a
sami	s a m i
samir	s a m i r
sammy	s a m i
sampan	s a m p a n
sample	s e m p @ l
samson	s e m s @ n
samsung	s a m s o NG
samuel	s e m i u l
samurai	s a m u r aj
san	s a n
sana	s a n a
sanctuary	s e NG k tS u e r i
sanding	s a n d i NG
sandra	s e n d r @
sang	s a NG
sani	s a n i
sanjay	s a n dZ e
sanskrit	s a n s k r e t
santa	s a n t a
santi	s a n t i
santo	s a n t o
sao	s aw
sap	s a p
sapp	e s e p i p i
sapphire	s e f aj @ r
sar	s a r
sara	s a r a
sarah	s a r a h
saran	s a r a n
sarawak	s a r a w a KK
sare	s e r
sari	s a r i
sas	s a s
sat	s a t
sate	s a t @
satellite	s e t @ l aj t
satin	s a t i n
sato	s a t o
saudi	s aw d i
save	s e v
saver	s e v @
saving	s e v i NG
savvy	s e v v i
saw	s o
sawa	s a w a
say	s e
sayed	s a j e d
scan	s k e n
scandinavia	s k e n d i n e v j @
scheme	s k i m
scholars	s k o l @ r s
scholarship	s k o l @ SS i p
scholarships	s k o l @ SS i p s
scholastic	s k o l @ s t i KK
school	s k u l
schools	s k u l s
sci	e s s i aj
science	s aj @ n s
sciences	s aj @ n s @ s
scientific	s aj @ n t i f i k
score	s k o r
scotland	s k o t l @ n d
scott	s k o t
scottish	s k o t i SS
scout	s k aw t
screen	s k r i n
sdn	e s d i e n
se	s @
sea	s i
seafood	s i f u d
search	s @ tS
seats	s i t s
sebastian	s @ b e s t j @ n
second	s e k @ n d
secondary	s e k @ n d r i
secret	s i k r @ t
secretary	s e k r @ t r i
secrets	s i k r @ t s
section	s e k SS @ n
sector	s e k t @
secure	s i k j u r
securities	s i k j u r @ t i s
security	s i k j u r @ t i
sedan	s e d a n
see	s i
seed	s i d
seen	s i n
segar	s @ g a
sel	s e l
sela	s @ l a
select	s @ l e KK t
self	s e l f
selina	s @ l i n a
sema	s @ m a
seman	s @ m a n
semester	s @ m e s t @
semiconductor	s e m i k @ n d a KK t @
seminar	s @ m i n a
sen	s @ n
sena	s @ n a
senator	s e n a t o
senegal	s e n i g @ l
seng	s e NG
senior	s i n j @
sense	s e n s
sensing	s e n s i NG
sensor	s e n s @
sentimental	s e n t i m e n t @ l
seoul	s o w l
sept	s e p t
september	s e p t e m b @
sera	s @ r a
serial	s i r j @ l
series	s i r i s
serum	s @ r u m
serve	s @ v
server	s @ v @
service	s @ v i s
services	s @ v i s @ s
servis	s @ r v i s
session	s e SS @ n
set	s e t
seth	s @ t
setting	s @ t i NG
seven	s e v @ n
seventh	s e v @ n t
sha	SS a
shad	SS a d
shadow	SS e d o
shah	SS a h
shaik	SS aj e KK
shake	SS a k
shakira	SS a k i r a
sham	SS a m
shampoo	SS e m p u
shan	SS a n
shanghai	SS a NG h aj
shankar	SS a n k a
shannon	SS e n @ n
shao	SS aw
share	SS e r
shared	SS e r d
shari	SS a r i
sharif	SS a r i f
sharon	SS e r @ n
she	SS @
sheet	SS i t
sheikh	SS @ x
sheila	SS i l a
shell	SS @ l
shelley	SS e l i
shelter	SS e l t @
shen	SS @ n
sheng	SS e NG
shenzhen	SS @ n z @ n
shepherd	SS e f @ r d
sher	SS @
sheraton	SS e r @ t @ n
sheriff	SS e r i f
shew	SS j u
shi	SS i
shia	SS j a
shiela	SS i l a
shield	SS i l d
shigeru	SS i g @ r u
shim	SS i m
shin	SS i n
shing	SS i NG
shining	SS i n i NG
shipbuilding	SS i p b i l d i NG
shipping	SS i p i NG
ships	SS i p s
shira	SS i r a
shirley	SS @ l i
shiva	SS i v a
shock	SS o k
shocking	SS o k i NG
shoes	SS u s
shoji	SS o dZ i
shon	SS o n
shooting	SS u t i NG
shop	SS o p
shopping	SS o p i NG
shore	SS o r
short	SS o t
shot	SS o t
show	SS o
showcase	SS o k e s
shower	SS a w @
shui	SS u i
shukri	SS u k r i
shun	SS u n
shuttle	SS a t @ l
si	s i
siam	s j a m
siang	s j a NG
sias	s j a s
sib	s i b
sid	s i d
sidek	s i d e KK
sidi	s i d i
sie	s i
siemens	s i m @ n s
siew	s i w
sight	s aj t
signal	s i g n @ l
signature	s i g n @ tS @
signing	s i g n i NG
sil	s i l
silicon	s i l i k @ n
silk	s i l k
silo	s i l o
sim	s i m
sima	s i m a
sime	s aj m
simeon	s i m @ o n
simon	s i m o n
simple	s i m p @ l
simply	s i m p l i
sin	s i n
sinai	s i n a i
sinar	s i n a
sing	s i NG
singapore	s i NG @ p o r
singer	s i NG @
singh	s i NG
single	s i NG g @ l
sino	s i n o
sip	s i p
sir	s i r
siren	s i r @ n
siri	s i r i
sister	s i s t @ r
sisters	s i s t @ s
sit	s i t
site	s aj t
sito	s i t o
situation	s i tS u e SS @ n
siu	s i u
sixth	s i KK s t
skala	s k a l @
ski	s k i
skill	s k i l
skills	s k i l s
skim	s k i m
skinner	s k i n @
skop	s k o p
slam	s l e m
sleep	s l i p
sleeping	s l i p i NG
slide	s l aj d
slip	s l i p
slogan	s l o g @ n
slot	s l o t
slovakia	s l o v a k j a
slow	s l o
small	s m o l
smart	s m a t
smear	s m i r
smelting	s m e l t i NG
smile	s m aj l
smith	s m i t
smoke	s m o k
smoking	s m o k i NG
snap	s n e p
so	s o
soccer	s o k @ r
social	s o SS @ l
socialist	s o SS @ l i s t
societies	s @ s aj @ t i s
society	s @ s aj @ t i
soda	s o d a
sofia	s o f j a
sofian	s o f j a n
soft	s o f t
software	s o f t w e r
soil	s oj l
sol	s o l
solar	s o l a
solid	s o l i d
solidarity	s o l i d e r @ t i
solo	s o l o
solomon	s o l @ m @ n
solution	s @ l u SS @ n
solutions	s @ l u SS @ n s
son	s o n
sonar	s o n a
sonata	s o n a t a
song	s o NG
soni	s o n i
sons	s @ n s
sony	s o n i
soo	s u
soon	s u n
soong	s u NG
sop	s o p
sophia	s o f j a
sore	s o r
souk	s u KK
souls	s o l s
sound	s aw n d
south	s aw t
southeast	s aw t i s t
southern	s aw t @ n
soya	s o j a
spa	s p a
space	s p e s
spain	s p e n
sparrow	s p e r o
speaker	s p i k @
speakers	s p i k @ s
speaking	s p i k i NG
special	s p e SS @ l
specialist	s p e SS @ l i s t
species	s p i SS i z
speech	s p i tS
speed	s p i d
spencer	s p e n s @
spice	s p aj s
spicy	s p aj s i
spike	s p aj k
spirit	s p i r i t
spiritual	s p i r i t u @ l
spoke	s p o k
spokesman	s p o KK s m @ n
sponsor	s p o n s @
spoon	s p u n
sport	s p o t
sporting	s p o t i NG
sports	s p o t s
spot	s p o t
spread	s p r e d
spring	s p r i NG
square	s k w e r
sr	e s a r
sram	e s a r e e m
sri	e s a r aj
st	e s t i
sta	s t a
stacy	s t e s i
stadium	s t e d j @ m
staff	s t a f
stage	s t e dZ
stallone	s t @ l o n
stamina	s t a m i n a
standard	s t e n d @ d
standards	s t e n d @ d s
standby	s t e n d b aj
standing	s t e n d i NG
stanford	s t e n f @ d
stanley	s t e n l i
stanly	s t e n l i
star	s t a r
starbuck	s t a r b a KK
starbucks	s t a r b a KK s
stars	s t a r s
state	s t e t
statement	s t e t m @ n t
states	s t e t s
station	s t e SS @ n
status	s t e t @ s
statutory	s t a t u t o r i
stay	s t e
steady	s t e d i
steam	s t i m
steel	s t i l
stefanie	s t e f a n i
stella	s t e l a
stem	s t e m
step	s t e p
stephanie	s t e f @ n i
stephen	s t e f @ n
steve	s t i v
steven	s t i v @ n
stevenson	s t i v @ n s @ n
steward	s t i w @ d
stewart	s t i w @ t
sticker	s t i k @
stigma	s t i g m a
still	s t i l
stimulus	s t i m i u l @ s
stone	s t o n
stop	s t o p
store	s t o r
stories	s t o r i z
storm	s t o r m
story	s t o r i
straight	s t r e t
straits	s t r e t s
strata	s t r a t a
strategic	s t r a t @ g i k
strategies	s t r a t @ g i s
strategy	s t r e t @ dZ i
straw	s t r o
street	s t r i t
stress	s t r e s
strike	s t r aj k
string	s t r i NG
stroke	s t r o k
structure	s t r a k tS @
stu	s t u
stuart	s t u a t
student	s t u d @ n t
students	s t u d @ n t s
studies	s t a d i s
studio	s t u d j o
study	s t u d i
stunt	s t a n t
stuyvesant	s t aj v @ s @ n t
style	s t aj l
su	s u
sub	s u b
subramanian	s u b r a m a n j a n
subroto	s u b r o t o
subsidiary	s a b s i d aj r i
subsidy	s a b s i d i
success	s @ KK s e s
successful	s @ KK s e s f @ l
such	s a tS
sudan	s u d a n
suddenly	s a d @ n l i
sugar	s u g @
suh	s u h
sui	s u i
suite	s w i t
suites	s w i t s
suk	s u KK
sultan	s u l t a n
sum	s u m
suman	s u m a n
sumatra	s u m a t r a
summer	s a m @ r
summit	s a m i t
sun	s u n
sunday	s a n d e
sung	s u NG
suni	s u n i
sunny	s a n i
sunrise	s a n r aj s
sup	s u p
super	s u p @
superbowl	s u p @ b o l
supermarket	s u p @ m a r k i t
supermodel	s u p @ m o d @ l
supervisor	s u p @ v aj z @
supplies	s @ p l j @ s
supply	s @ p l aj
support	s @ p o r t
supreme	s u p r i m
sur	s u r
surat	s u r a t
suresh	s u r e SS
surfer	s @ f @
surplus	s @ p l a s
survey	s @ v e
surveyor	s @ v e j @
survival	s @ v aj v @ l
survivor	s @ v aj v @
susan	s u s a n
sushi	s u SS i
susi	s u s i
susie	s u z i
suspense	s @ s p e n s
sussex	s @ s e KK s
sustainability	s a s t e n @ b i l @ t i
sustainable	s a s t e n @ b @ l
suzanna	s u z a n a
suzanne	s u z e n
suzie	s u z i
suzuki	s u z u k i
swam	s w e m
swan	s w a n
swap	s w a p
swat	s w a t
sweden	s w i d @ n
sweet	s w i t
swiss	s w i s
switzerland	s w i t z @ l @ n d
sy	s i
sydney	s i d n i
syed	s aj d
sylvester	s i l v e s t @
sylvia	s i l v j a
synergy	s i n @ dZ i
syria	SS r j @
system	s i s t @ m
systems	s i s t @ m s
sze	s i
t	t i
ta	t a
tab	t a b
table	t @ b @ l
tabloid	t e b l oj d
tackle	t e k @ l
tad	t a d
tada	t a d a
tae	t e
taekwondo	t e k w a n d o
tagline	t e g l aj n
tai	t aj
tail	t e l
taipei	t aj p @ i
taiwan	t aj w a n
tajikistan	t a dZ i k i s t a n
tak	t a KK
take	t e k
tale	t e l
talent	t e l @ n t
talented	t e l @ n t @ d
talk	t o k
tam	t a m
tama	t a m a
tamil	t a m e l
tampa	t a m p a
tan	t a n
tang	t a NG
tani	t a n i
tania	t a n j a
tanker	t e NG k @
tanya	t a NJ @
tanzania	t e n z e n j @
tao	t aw
tap	t a p
tape	t e p
tar	t a r
tara	t a r a
target	t a r g e t
tariff	t a r i f
task	t a s k
tasmania	t e z m e n j @
taste	t e s t
tat	t a t
tata	t a t a
tauke	t aw k e
tawil	t a w e l
tay	t e
taylor	t e l @
taylors	t e l @ s
tb	t i b i
tea	t i
teacher	t i tS @
teachers	t i tS @ s
teaching	t i tS i NG
team	t i m
teater	t j @ t @
tech	t e k
technical	t e k n i k @ l
technique	t e k n i KK
techniques	t e k n i KK s
techno	t e k n o
technologies	t e k n o l @ dZ i s
technology	t e k n o l @ dZ i
teck	t e k
ted	t @ d
tee	t i
teheran	t e h e r a n
tek	t e KK
telecommunications	t e l i k @ m j u n i k e SS @ n s
telefon	t e l i f o n
telekom	t e l i k o m
television	t e l i v i z @ n
template	t @ m p l e t
temple	t e m p @ l
templer	t e m p l @ r
temporary	t e m p r @ r i
ten	t e n
tender	t e n d @
teng	t e NG
tennis	t e n i s
teo	t i o
ter	t @ r
teran	t @ r a n
terence	t @ r @ n s
teresa	t @ r e s a
term	t @ r m
terminal	t @ r m i n a l
terra	t e r a
terrace	t e r e i s
terrence	t e r @ n s
territorial	t @ r i t o r j @ l
terry	t e r i
tesco	t e s k o
tess	t e s
testing	t e s t i NG
